Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Patterson Lakes,"(-38.0694493, 145.1432329)",32.451625384968516,"921,800",Pizza Place,Racetrack,Kebab Restaurant,Coffee Shop,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Falafel Restaurant,Farm
Ringwood North,"(-37.7930324, 145.2312313)",23.72474413141728,"921,800",Ice Cream Shop,Women's Store,Park,Fast Food Restaurant,Lake,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Falafel Restaurant
Kingsville,"(-37.8088622, 144.8794356)",7.396492809603415,"921,400",Fast Food Restaurant,Supermarket,Pool,Cafe,Grocery Store,Shopping Mall,Liquor Store,Discount Store,Sandwich Place,Asian Restaurant
Heatherton,"(-37.9560844, 145.0932067)",19.46339332039555,"916,700",Cafe,Shopping Mall,Smoke Shop,Road,Fast Food Restaurant,Field,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant
The Patch,"(-37.8901143, 145.3912949)",38.60960275251683,"916,700",Convenience Store,Hotel,Shopping Mall,Gym / Fitness Center,Pizza Place,Gym,Supermarket,Filipino Restaurant,Ethiopian Restaurant,Event Service
Keilor,"(-37.7113545, 144.8250696)",16.685442556573804,"915,900",Cafe,Fast Food Restaurant,Basketball Court,Restaurant,Coffee Shop,Motorcycle Shop,Gas Station,Grocery Store,Sandwich Place,Gym
Notting Hill,"(-37.905582, 145.1455616)",18.986217316788817,"915,600",Cafe,Italian Restaurant,Thai Restaurant,Fast Food Restaurant,Chinese Restaurant,Grocery Store,Indian Restaurant,Sandwich Place,Liquor Store,Gym / Fitness Center
Eden Park,"(-37.4950097, 145.071621)",36.69884104117165,"912,000",Cafe,Asian Restaurant,Coffee Shop,Electronics Store,Park,Thrift / Vintage Store,Paper / Office Supplies Store,Playground,Golf Course,Pub
Montmorency,"(-37.7152592, 145.1214652)",17.753919581099574,"910,100",Construction & Landscaping,Sushi Restaurant,Pet Store,Park,Soccer Stadium,Fast Food Restaurant,Field,Event Service,Event Space,Falafel Restaurant
Altona,"(-37.8672062, 144.830142)",13.102742456171837,"905,500",Supermarket,Department Store,Park,Bakery,Smoke Shop,Liquor Store,Basketball Court,Gas Station,Athletics & Sports,Shopping Mall
Mulgrave,"(-37.9319869, 145.1817988109604)",23.25755439496296,"904,800",Gym,Restaurant,Golf Course,Home Service,Field,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
Heathmont,"(-37.8283667, 145.2445824)",24.82752349908685,"899,600",Golf Course,Gas Station,Cafe,Supermarket,Pizza Place,Tourist Information Center,Gym / Fitness Center,Bakery,Park,Bus Station
Wantirna,"(-37.8523357, 145.2259721)",23.519188829053522,"890,100",Park,Cafe,Fast Food Restaurant,Sandwich Place,Gastropub,Shopping Mall,Pharmacy,Train Station,Wine Bar,Italian Restaurant
Aspendale Gardens,"(-38.0221438, 145.11984)",26.87802696135644,"889,600",Bakery,Thai Restaurant,Grocery Store,Playground,Dessert Shop,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Ringwood,"(-37.8159197, 145.2289042)",23.400143510995807,"881,700",Park,Cafe,Vietnamese Restaurant,Convenience Store,Train Station,Spa,Outdoors & Recreation,Farmers Market,Dog Run,Tennis Stadium
Croydon Hills,"(-37.7759541, 145.2671081)",27.105322191448217,"880,100",Electronics Store,Salsa Club,Event Service,Gourmet Shop,Fast Food Restaurant,Bar,Building,Food & Drink Shop,Food Court,Food Truck
Bend of Islands,"(-37.700485, 145.2777398125)",30.45988845738425,"878,600",Board Shop,Fish & Chips Shop,Zoo Exhibit,Fishing Spot,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Dingley Village,"(-37.9755762, 145.1256478)",22.913429691688307,"877,600",Baseball Stadium,Supermarket,Train Station,Cafe,Fast Food Restaurant,Platform,Filipino Restaurant,Event Space,Falafel Restaurant,Farm
Chelsea,"(-38.0518344, 145.1158466)",29.59358216312005,"874,000",Cafe,Shopping Mall,Supermarket,Breakfast Spot,Pizza Place,Bus Station,Fish & Chips Shop,Fast Food Restaurant,Park,Basketball Court
Kilsyth South,"(-37.8315054, 145.3110008)",30.685021173718447,"870,800",Golf Course,Sports Club,Business Service,Zoo Exhibit,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Bonbeach,"(-38.0629381, 145.1197459)",30.848055767908487,"860,900",Gym / Fitness Center,Garden Center,Shopping Mall,Park,Bakery,Train Station,Liquor Store,Chinese Restaurant,Australian Restaurant,Cafe
South Kingsville,"(-37.8306664, 144.8713429)",8.287593506604559,"860,400",Pet Store,Gas Station,Trail,Food Service,Food Court,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
Avondale Heights,"(-37.7614537, 144.862141)",10.652578535115426,"856,300",Cafe,Park,Asian Restaurant,Malay Restaurant,Gym / Fitness Center,Train Station,Thai Restaurant,Pizza Place,Athletics & Sports,Gym
Clarinda,"(-37.9431093, 145.1060206)",19.042898540846352,"851,900",Gym,Arts & Crafts Store,Cafe,Shopping Mall,Go Kart Track,Golf Course,Trailer Park,Gym / Fitness Center,Pharmacy,Pizza Place
Yallambie,"(-37.7251655, 145.0935218)",15.15305151093151,"848,800",Cafe,Italian Restaurant,Pizza Place,Japanese Restaurant,Burger Joint,Supermarket,Thai Restaurant,Coffee Shop,Bakery,Gym / Fitness Center
Ferny Creek,"(-37.899536, 145.3037953)",31.437009615788998,"848,700",Park,Breakfast Spot,Train Station,Light Rail Station,Bus Stop,Bakery,Chinese Restaurant,Thai Restaurant,Pizza Place,Cafe
Sanctuary Lakes,"(-37.8962568, 144.7671613)",19.504889559070822,"848,200",Cafe,Electronics Store,Dessert Shop,Burger Joint,Department Store,Coffee Shop,Gym,Farmers Market,Furniture / Home Store,Bowling Alley
Rowville,"(-37.9239267, 145.2447672)",27.60857645233084,"842,200",Cafe,Bakery,Train Station,Grocery Store,Thai Restaurant,Sandwich Place,Pub,Supermarket,Pizza Place,Pharmacy
Keilor East,"(-37.7375531, 144.85744950114827)",12.615034169888728,"836,600",Middle Eastern Restaurant,Grocery Store,Bakery,Shopping Mall,Pizza Place,Field,Event Service,Event Space,Falafel Restaurant,Farm
Clayton South,"(-37.9430924, 145.125236)",20.197279967537945,"833,400",Bar,Cafe,Coffee Shop,Cocktail Bar,Shopping Mall,Bubble Tea Shop,Clothing Store,Bookstore,Boutique,Juice Bar
Croydon North,"(-37.7718843, 145.2839524)",28.642917441405267,"822,200",Furniture / Home Store,Zoo Exhibit,Fish Market,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
West Footscray,"(-37.8017432, 144.8840729452263)",7.100848354923,"820,100",Bus Station,Pizza Place,Park,Fast Food Restaurant,Zoo Exhibit,Event Space,Falafel Restaurant,Farm,Farmers Market,Field
Scoresby,"(-37.9025786, 145.2183066)",24.50160957986153,"817,600",Lake,Food & Drink Shop,Liquor Store,Park,Electronics Store,Pharmacy,Food,Farmers Market,Ethiopian Restaurant,Event Service
Ringwood East,"(-37.8130808, 145.2530126)",25.522985598405718,"816,500",Cafe,Fast Food Restaurant,Gym,Pet Store,Sandwich Place,Gym / Fitness Center,Beach,Grocery Store,Chinese Restaurant,Middle Eastern Restaurant
Altona North,"(-37.8378229, 144.8342853)",11.644718128462609,"815,300",Construction & Landscaping,Bar,Train Station,Grocery Store,Fast Food Restaurant,Athletics & Sports,Shopping Plaza,Flower Shop,Flea Market,Ethiopian Restaurant
Footscray,"(-37.8015202, 144.9025869)",5.517239356764955,"813,000",Cafe,Athletics & Sports,Light Rail Station,Breakfast Spot,Grocery Store,BBQ Joint,Restaurant,Deli / Bodega,Playground,Pier
Strathmore Heights,"(-37.7133663, 144.8969057)",12.62459776437491,"808,500",Bakery,Stadium,Mobile Phone Shop,Supermarket,Train Station,Performing Arts Venue,Coffee Shop,Department Store,Bookstore,Dumpling Restaurant
